,ward_clus,업체명,경도,위도,주차장명,주차경도,주차위도,group,sum_2_y
80,21,(주)장위가스,37.6132323,127.0584353,방배열린 문화센터,126.9922476,37.4889095,81.0,2.9603771710324778
81,21,(주)장위가스,37.6132323,127.0584353,양재주차빌딩,127.041321,37.4785659,82.0,4.2987024918164805
82,21,(주)장위가스,37.6132323,127.0584353,청계산청룡,127.059622,37.44665300000001,83.0,2.574122867310566
83,21,(주)장위가스,37.6132323,127.0584353,마장동축산물 서문,127.03854479999998,37.5706795,84.0,1.6947648448204835
84,22,동일석유(주)동주충전소,37.4994173,126.9266463,성수2가1동(건물),127.0563893,37.5368616,85.0,1.5240048626641192
85,22,동일석유(주)동주충전소,37.4994173,126.9266463,성수2가3동(건물),127.0549305,37.54901270000001,86.0,1.5372526049829918
86,22,동일석유(주)동주충전소,37.4994173,126.9266463,송정동 (건물),127.0682035,37.5497209,87.0,1.0276173988657795
87,22,동일석유(주)동주충전소,37.4994173,126.9266463,서울교통공사 인재개발원 부설 주차장,127.056888,37.562018,88.0,1.1619314479215523
88,23,명화가스(주),37.47367620000001,126.9512765,홍익동(건물),127.0338459,37.565856,89.0,1.810698215515504
89,23,명화가스(주),37.47367620000001,126.9512765,새싹마을 공영주차장,127.01098111,37.56868111,90.0,1.810698215515504
90,23,명화가스(주),37.47367620000001,126.9512765,금호초등학교(건물),127.0194207,37.5523437,91.0,1.7532306801052904
91,23,명화가스(주),37.47367620000001,126.9512765,벤처빌딩,127.0423002,37.6083886,92.0,0.7866102618885447
92,24,연일가스산업(주),37.5736524,126.90409409999998,장위시장,127.0484822,37.6105275,93.0,0.6737144430093571
93,24,연일가스산업(주),37.5736524,126.90409409999998,경동고,127.012726,37.5861472,94.0,0.9918729171327196
94,24,연일가스산업(주),37.5736524,126.90409409999998,종암1동,127.031037,37.599277,95.0,1.3651212647564988
95,24,연일가스산업(주),37.5736524,126.90409409999998,풍납2공영,127.116125,37.535919,96.0,1.5497511382157256
96,25,동일석유(주)남부충전소,37.4842727,126.8997642,풍납시장,127.121273,37.537238,97.0,1.5497511382157256
97,25,동일석유(주)남부충전소,37.4842727,126.8997642,마천동2,127.156487,37.494314,98.0,1.7057316437509835
98,25,동일석유(주)남부충전소,37.4842727,126.8997642,마천동3,127.149842,37.496088,99.0,1.7057316437509835
99,25,동일석유(주)남부충전소,37.4842727,126.8997642,천마,127.154843,37.50019,100.0,1.7529998587017752
100,26,(주)경기에너지,37.5364849,127.1268028,방이고분 주차장,127.118439,37.507409,101.0,1.8089929741506845
101,26,(주)경기에너지,37.5364849,127.1268028,방이동,127.11391299999998,37.51372,102.0,2.1667137035743718
102,26,(주)경기에너지,37.5364849,127.1268028,송파근린공원주차장,127.10943799999998,37.506456,103.0,2.0793254089413837
103,26,(주)경기에너지,37.5364849,127.1268028,삼전동,127.095957,37.500199,104.0,2.142260316775673
104,27,대흥에너지산업(주),37.52972379999999,126.8450293,가락동2(체비지),127.119759,37.494681,105.0,2.294402909811981
105,27,대흥에너지산업(주),37.52972379999999,126.8450293,문정근린공원,127.124748,37.485972,106.0,1.8874736250732311
106,27,대흥에너지산업(주),37.52972379999999,126.8450293,아시아공원,127.07828,37.510186,107.0,2.527237848733704
107,27,대흥에너지산업(주),37.52972379999999,126.8450293,신천유수지,127.102903,37.522409,108.0,2.106670050404744
108,28,대양가스충전소,37.5583883,126.8585873,송파나루공원 동호주차장,127.106549,37.513205,109.0,2.106670050404744
109,28,대양가스충전소,37.5583883,126.8585873,달마을,126.871574,37.544424,110.0,2.1577341164463832
110,28,대양가스충전소,37.5583883,126.8585873,한두,126.866094,37.548771,111.0,1.9479218905685611
111,28,대양가스충전소,37.5583883,126.8585873,목3동 해운,126.865111,37.5419998,112.0,1.9479218905685611
112,29,수도에너지(주),37.5068869,126.83681409999998,서서울,126.832411,37.528565,113.0,1.503680644851881
113,29,수도에너지(주),37.5068869,126.83681409999998,능골,126.824559,37.533173,114.0,1.503680644851881
114,29,수도에너지(주),37.5068869,126.83681409999998,신우,126.828575,37.534569,115.0,1.503680644851881
115,29,수도에너지(주),37.5068869,126.83681409999998,어울림,126.869307,37.522152,116.0,1.9105303633149175
