자치구,동_x,㎡당 매매평균가,㎡당 전세평균가,two,one,동_y,면적
강남구,개포2동,2538,563,개포,개,개포2동,2.51
강남구,개포4동,2538,563,개포,개,개포4동,1.49
강남구,논현1동,1079,577,논현,논,논현1동,1.25
강남구,논현2동,1079,577,논현,논,논현2동,1.47
강남구,대치1동,1672,710,대치,대,대치1동,0.79
강남구,대치2동,1672,710,대치,대,대치2동,2
강남구,대치4동,1672,710,대치,대,대치4동,0.73
강남구,도곡1동,1246,671,도곡,도,도곡1동,1.02
강남구,도곡2동,1246,671,도곡,도,도곡2동,1.02
강남구,삼성1동,1519,729,삼성,삼,삼성1동,1.94
강남구,삼성2동,1519,729,삼성,삼,삼성2동,1.24
강남구,세곡동,993,500,세곡,세,세곡동,2.58
강남구,수서동,1292,539,수서,수,수서동,6.36
강남구,신사동,1071,602,신사,신,신사동,1.89
강남구,압구정동,1906,552,압구,압,압구정동,2.53
강남구,역삼1동,1332,762,역삼,역,역삼1동,2.35
강남구,역삼2동,1332,762,역삼,역,역삼2동,1.15
강남구,일원1동,1379,585,일원,일,일원1동,1.24
강남구,일원2동,1379,585,일원,일,일원2동,1.43
강남구,일원본동,1379,585,일원,일,일원본동,0.92
강남구,청담동,1514,630,청담,청,청담동,2.33
