,자치구,동,edu_percent,동별_친환경자동차수,store_총_개소,백화점_개소,합계_사업체수,㎡당 매매평균가,행정구역코드,가구수별_승용차수,동별_수소차_대수,택시,clus,pca1,pca2,pca3,pca,sum1,sum_clus,cluster,총_점수_interval_10,수소충전소,pca_clus,업체명,동주소,경도,위도,주차장명,주차장구분,주차장유형,주차구획수,주차급지구분,주차부제시행구분,주차운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,주차요금정보,주차기본시간,주차기본요금,주차경도,주차위도
504,강남구,도곡1동,27043.943089178432,651.8296986225303,0.0,0.0,1688,1246.0,1123066.0,0.4136090948192235,0.9987762376053344,4758632364.8125,6,992553556.6611671,-1730990212.95701,-2562427189.865868,-52948200825.080284,9.671090342511729,10,4,10,0,4,진양가스,서울특별시  강남구 강남대로58길 61,37.4905825,127.0346343,언주초교,공영,노외,191.0,3,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,5.0,200.0,127.0367926524,37.4863230777
505,강남구,도곡2동,41084.44234664893,990.2424208105535,1.0,0.0,1858,1246.0,1123067.0,0.4398580038511123,1.4267673595116117,4960176553.35,8,1034596112.8264843,-1804311011.5120976,-2670955738.4633746,-55190750527.88252,14.76426858088611,10,5,10,0,4,,,,,논현로32길15,공영,노외,21.0,2,요일제,평일,09:00,19:00,00:00,00:00,유료,5.0,300.0,127.04343991020001,37.4842521056
506,강남구,개포1동,9234.055160899656,222.5648594491217,0.0,0.0,467,2538.0,1123068.0,0.13965856712446112,1.0099808758044029,4916317314.5,2,1025437101.9723873,-1788337661.7437153,-2647336862.308444,-54702697912.565475,5.471598513316618,9,4,8,0,4,,,,,구룡산제1호,공영,노외,92.0,3,요일제,평일,09:00,19:00,00:00,00:00,유료,5.0,200.0,127.0672849458,37.4760669787
507,강남구,개포1동,9234.055160899656,222.5648594491217,0.0,0.0,467,2538.0,1123068.0,0.13965856712446112,1.0099808758044029,4916317314.5,2,1025437101.9723873,-1788337661.7437153,-2647336862.308444,-54702697912.565475,5.471598513316618,9,4,8,0,4,,,,,구룡산제2호,공영,노외,132.0,3,요일제,평일,09:00,19:00,00:00,00:00,유료,5.0,200.0,127.0672849458,37.4760669787
508,강남구,개포4동,22398.50303131045,539.8624539458182,0.0,0.0,2182,2538.0,1123071.0,0.3144628829595062,1.0880224837258214,4985703085.333333,5,1039914342.0630472,-1813585112.3848364,-2684699504.6157103,-55474723640.45325,11.761959183907102,10,4,10,0,4,,,,,포이초교,공영,노외,190.0,3,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,5.0,200.0,127.0514162216,37.475292873
509,강남구,개포4동,22398.50303131045,539.8624539458182,0.0,0.0,2182,2538.0,1123071.0,0.3144628829595062,1.0880224837258214,4985703085.333333,5,1039914342.0630472,-1813585112.3848364,-2684699504.6157103,-55474723640.45325,11.761959183907102,10,4,10,0,4,,,,,논현로22길,공영,노외,96.0,3,요일제,평일,09:00,19:00,00:00,00:00,유료,5.0,200.0,127.0468164511,37.4812594671
510,강남구,개포4동,22398.50303131045,539.8624539458182,0.0,0.0,2182,2538.0,1123071.0,0.3144628829595062,1.0880224837258214,4985703085.333333,5,1039914342.0630472,-1813585112.3848364,-2684699504.6157103,-55474723640.45325,11.761959183907102,10,4,10,0,4,,,,,개포로24길33,공영,노외,36.0,3,요일제,평일,09:00,19:00,00:00,00:00,유료,5.0,200.0,127.0497487923,37.4771388546
511,강남구,일원본동,29337.06678746852,707.0999720523953,0.0,0.0,448,1379.0,1123072.0,0.4523979002083552,0.9905681886920632,4941516983.666667,6,1030699817.2842952,-1797516291.6218083,-2660908021.527876,-54983137328.897446,10.45377431732692,10,4,9,0,4,,,,,일원역,공영,노외,67.0,4,미시행,평일+토요일+공휴일,09:00,19:00,09:00,15:00,혼합,5.0,100.0,127.084056,37.484669
512,강남구,일원본동,29337.06678746852,707.0999720523953,0.0,0.0,448,1379.0,1123072.0,0.4523979002083552,0.9905681886920632,4941516983.666667,6,1030699817.2842952,-1797516291.6218083,-2660908021.527876,-54983137328.897446,10.45377431732692,10,4,9,0,4,,,,,일원터널,공영,노외,11.0,4,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,5.0,100.0,127.078902,37.482745
513,강남구,일원1동,20286.508876561093,488.9578758359165,1.0,0.0,2162,1379.0,1123073.0,0.3411448491182573,0.9083574130686656,5709119067.090909,4,1190801354.3850083,-2076730336.8298008,-3074243805.4295316,-63524032695.83056,8.061049265832525,10,4,10,0,2,,,,,탄천제2호,공영,노외,323.0,4,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,5.0,100.0,127.0877676116,37.4931474673
514,강남구,일원1동,20286.508876561093,488.9578758359165,1.0,0.0,2162,1379.0,1123073.0,0.3411448491182573,0.9083574130686656,5709119067.090909,4,1190801354.3850083,-2076730336.8298008,-3074243805.4295316,-63524032695.83056,8.061049265832525,10,4,10,0,2,,,,,일원1동,공영,노외,68.0,4,요일제,평일,06:00,22:00,00:00,00:00,유료,5.0,100.0,127.0817931211,37.4895657461
515,강남구,일원1동,20286.508876561093,488.9578758359165,1.0,0.0,2162,1379.0,1123073.0,0.3411448491182573,0.9083574130686656,5709119067.090909,4,1190801354.3850083,-2076730336.8298008,-3074243805.4295316,-63524032695.83056,8.061049265832525,10,4,10,0,2,,,,,영희초교,공영,노외,187.0,4,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,5.0,100.0,127.08113120590001,37.492301660500004
516,강남구,일원1동,20286.508876561093,488.9578758359165,1.0,0.0,2162,1379.0,1123073.0,0.3411448491182573,0.9083574130686656,5709119067.090909,4,1190801354.3850083,-2076730336.8298008,-3074243805.4295316,-63524032695.83056,8.061049265832525,10,4,10,0,2,,,,,일원동,공영,노외,21.0,5,미시행,평일+토요일+공휴일,09:00,19:00,09:00,15:00,혼합,5.0,50.0,127.088279,37.491368
517,강남구,일원2동,19643.67657497539,473.46393754349685,2.0,0.0,646,1379.0,1123074.0,0.3704510150518639,0.8099911126000996,5234295593.277778,4,1091763427.341846,-1904010322.5455477,-2818562257.5455456,-58240804278.119194,6.93446032340216,10,4,9,0,3,대치에너지주식회사,서울특별시  강남구 남부순환로 3179,37.49929960000001,127.0759013,대청역,공영,노외,168.0,4,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,5.0,100.0,127.07932019959999,37.4949158103
518,강남구,일원2동,19643.67657497539,473.46393754349685,2.0,0.0,646,1379.0,1123074.0,0.3704510150518639,0.8099911126000996,5234295593.277778,4,1091763427.341846,-1904010322.5455477,-2818562257.5455456,-58240804278.119194,6.93446032340216,10,4,9,0,3,대치에너지주식회사,서울특별시  강남구 남부순환로 3179,37.49929960000001,127.0759013,밤고개로21길,공영,노외,110.0,4,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,5.0,100.0,127.07932019959999,37.4949158103
519,강남구,일원2동,19643.67657497539,473.46393754349685,2.0,0.0,646,1379.0,1123074.0,0.3704510150518639,0.8099911126000996,5234295593.277778,4,1091763427.341846,-1904010322.5455477,-2818562257.5455456,-58240804278.119194,6.93446032340216,10,4,9,0,3,남서울가스(주),서울특별시  강남구 남부순환로 3154,37.4977796,127.0733765,대청역,공영,노외,168.0,4,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,5.0,100.0,127.07932019959999,37.4949158103
