,자치구,동,edu_percent,동별_친환경자동차수,총가구,면적_동,store_총_개소,백화점_개소,백화점_건물연면적,복합쇼핑몰_개소,복합쇼핑몰_건물연면적,전문점_개소,전문점_건물연면적,합계_사업체수,총_수급자_가구,㎡당 매매평균가,㎡당 전세평균가,수입차합계,수입화물차,수입특수차,주택건설현황,인구,면적,인구밀도,행정구역코드,구별_인구_비율,가구수_비율,동별_승용차수,가구수별_승용차수,동별_수소차_대수
53,성동구,응봉동,13284.678935610169,165.62433839026997,5600,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379,117.0,742.0,389.0,21312.0,91.0,11.0,2956,16405,0.57,28781,1104058.0,0.05183860356502972,0.04709840201850295,1095.453370536208,0.19561667331003715,0.1883936080740118
54,성동구,금호1가동,13111.382910482429,163.4638014554624,4912,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506,407.0,845.0,489.0,21312.0,91.0,11.0,2956,16191,0.46,35198,1104059.0,0.051162379172288705,0.04131202691337258,1081.1633966688048,0.2201065546964179,0.16524810765349032
55,성동구,금호4가동,12542.097369992704,156.36633666494976,5551,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,635,240.0,1005.0,583.0,21312.0,91.0,11.0,2956,15488,0.84,18438,1104062.0,0.04894095044286378,0.04668629100084104,1034.2201647585973,0.18631240582932757,0.18674516400336416
56,성동구,성수1가1동,14228.089539693423,177.38613992789047,6632,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1601,284.0,1035.0,562.0,21312.0,91.0,11.0,2956,17570,1.98,8874,1104065.0,0.0555199186002787,0.055777964676198485,1173.2469198610895,0.17690695414069504,0.22311185870479394
57,성동구,성수1가2동,12783.416133955627,159.3749348265042,7350,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2346,177.0,1035.0,562.0,21312.0,91.0,11.0,2956,15786,0.89,17737,1104066.0,0.049882608709390985,0.06181665264928511,1054.1192872468503,0.14341759010161229,0.24726661059714045
58,성동구,성수2가1동,14833.006038620624,184.9278272657467,8137,1.18,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2605,443.0,865.0,448.0,21312.0,91.0,11.0,2956,18317,1.18,15523,1104067.0,0.05788038412073449,0.06843566021867115,1223.1282772393613,0.15031685845389717,0.2737426408746846
59,성동구,성수2가3동,9648.701585967396,120.29344662725185,4994,1.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5203,154.0,865.0,448.0,21312.0,91.0,11.0,2956,11915,1.03,11568,1104068.0,0.03765053102574393,0.042001682085786377,795.6310216360207,0.15931738518943145,0.1680067283431455
60,성동구,송정동,9537.759738105244,118.9102991502956,5293,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692,382.0,516.0,343.0,21312.0,91.0,11.0,2956,11778,0.68,17321,1104069.0,0.03721762101730692,0.044516400336417156,786.4827673377298,0.14858922488904777,0.17806560134566862
61,성동구,용답동,12680.572231192902,158.0927470193988,7399,2.32,1.0,0.0,0.0,0.0,0.0,1.0,31845.0,2089,594.0,467.0,359.0,21312.0,91.0,11.0,2956,15659,2.32,6750,1104070.0,0.049481297971642815,0.06222876366694701,1045.638788736756,0.14132163653693147,0.24891505466778804
62,성동구,왕십리도선동,22555.206485434315,281.2029684354885,7847,0.72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2079,557.0,756.0,477.0,21312.0,91.0,11.0,2956,27853,0.72,38685,1104071.0,0.08801344864960517,0.06599663582842726,1859.9001968634564,0.23702054248291785,0.263986543313709
63,성동구,금호2.3가동,19813.2422747683,247.01802422400092,8300,0.64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1034,451.0,915.0,535.5,21312.0,91.0,11.0,2956,24467,0.64,38230,1104072.0,0.07731393559436649,0.06980656013456686,1633.7980869801527,0.19684314300965694,0.27922624053826745
64,성동구,옥수동,22283.925324603504,277.82081949548603,8402,1.95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,867,265.0,1059.0,558.0,21312.0,91.0,11.0,2956,27518,1.95,14112,1104073.0,0.08695487308152927,0.07066442388561817,1837.5303779588767,0.21870154462733596,0.28265769554247266
65,광진구,화양동,21301.34736149926,164.10641858660122,16666,1.16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2437,267.0,702.0,536.0,14410.0,75.0,3.0,2693,24804,1.16,21383,1105053.0,0.06684579168496994,0.10735496837196119,954.6247510530558,0.057279776254233514,0.21470993674392239
66,광진구,군자동,18918.214039125432,145.74666566054822,11412,0.74,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1580,464.0,499.0,332.0,14410.0,75.0,3.0,2693,22029,0.74,29769,1105054.0,0.05936727725480579,0.07351103438502467,847.8240864758815,0.07429233144723812,0.14702206877004934
67,광진구,중곡1동,14169.981916817358,109.16609847923398,7005,0.62,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1612,454.0,444.0,281.0,14410.0,75.0,3.0,2693,16500,0.62,26613,1105055.0,0.04446684255773278,0.04512309813066052,635.0309785669818,0.09065395839642854,0.09024619626132104
68,광진구,중곡2동,19493.6011836265,150.17947087152316,9037,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1622,438.0,444.0,281.0,14410.0,75.0,3.0,2693,22699,0.55,41271,1105056.0,0.06117290055866524,0.05821233944422257,873.6101928782983,0.09667037654955166,0.11642467888844514
69,광진구,중곡3동,15323.33256616801,118.05155728272557,7392,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1330,551.0,444.0,281.0,14410.0,75.0,3.0,2693,17843,0.6,29738,1105057.0,0.04808617404591673,0.04761598021154069,686.7186515497368,0.09290025048021332,0.09523196042308138
70,광진구,중곡4동,26758.93736643104,206.1519068190577,11775,2.32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1563,742.0,444.0,281.0,14410.0,75.0,3.0,2693,31159,2.32,13431,1105058.0,0.0839722634700846,0.07584931912755569,1199.2078946162783,0.10184355792919561,0.15169863825511137
71,광진구,능동,10211.833634719713,78.67236830403462,5820,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,783,146.0,789.0,471.0,14410.0,75.0,3.0,2693,11891,1.1,10810,1105059.0,0.03204577120327276,0.03748985454967084,457.6456585539383,0.07863327466562514,0.07497970909934168
72,광진구,구의1동,19994.27387802072,154.03667301778944,10770,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1846,392.0,789.0,471.0,14410.0,75.0,3.0,2693,23282,0.56,41575,1105060.0,0.06274406232903847,0.06937555558418469,896.0479541209984,0.08319851013194042,0.13875111116836938
73,광진구,구의2동,24023.70146309387,185.07954174897523,9553,1.39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1297,496.0,789.0,471.0,14410.0,75.0,3.0,2693,27974,1.39,20125,1105061.0,0.07538881537636466,0.06153618221872947,1076.6276723898636,0.11270047863392271,0.12307236443745893
74,광진구,구의3동,26172.385993753087,201.63309195473545,10693,1.02,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2652,242.0,789.0,471.0,14410.0,75.0,3.0,2693,30476,1.02,29878,1105062.0,0.08213160568420996,0.06887955579031448,1172.9214607762026,0.1096905883078839,0.13775911158062895
75,광진구,광장동,31181.689298043726,240.2249617989398,11202,2.39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1419,135.0,897.0,501.0,14410.0,75.0,3.0,2693,36309,2.39,15192,1105063.0,0.09785130826840725,0.07215830767446954,1397.4145333811239,0.12474687853786144,0.14431661534893908
76,광진구,자양1동,21019.665296728588,161.93632887137764,10495,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1711,600.0,773.0,466.0,14410.0,75.0,3.0,2693,24476,0.57,42940,1105064.0,0.06596184475412531,0.06760412774893393,942.0011049336636,0.0897571324377002,0.13520825549786786
77,광진구,자양2동,23560.815387144503,181.5134491986536,10116,1.68,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1487,412.0,773.0,466.0,14410.0,75.0,3.0,2693,27435,1.68,16330,1105065.0,0.07393623185281206,0.06516277811417014,1055.883327090009,0.1043775530931207,0.13032555622834027
78,광진구,자양3동,25876.96334045701,199.35714420462293,10317,1.2,2.0,1.0,88630.0,0.0,0.0,0.0,0.0,1353,199.0,773.0,466.0,14410.0,75.0,3.0,2693,30132,1.2,25110,1105066.0,0.08120453939088511,0.06645753082284434,1159.6820270412302,0.11240496530398664,0.13291506164568867
79,광진구,자양4동,20657.2572743712,159.14432320118146,12989,1.16,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1996,562.0,773.0,466.0,14410.0,75.0,3.0,2693,24054,1.16,20736,1105067.0,0.06482457156870935,0.08366936782571727,925.7597065727383,0.07127259269941784,0.16733873565143453
80,동대문구,회기동,9974.114520033594,73.25129961738824,7332,0.76,1.0,0.0,0.0,0.0,0.0,0.0,0.0,997,166.0,578.0,394.0,11743.0,115.0,7.0,4974,12868,0.76,16932,1106071.0,0.03531885227453628,0.04780845320222741,408.70975852093386,0.05574328403176949,0.14342535960668223
81,동대문구,휘경1동,11357.685736870706,83.4124411947148,7657,0.63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,977,329.0,549.0,347.0,11743.0,115.0,7.0,4974,14653,0.63,23259,1106072.0,0.04021814908134754,0.04992762222714884,465.4044211693537,0.060781562122156685,0.14978286668144652
82,동대문구,휘경2동,19491.68929400721,143.14970714007322,10489,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1210,356.0,549.0,347.0,11743.0,115.0,7.0,4974,25147,1.05,23950,1106073.0,0.06902107383802952,0.06839373508431032,798.7118664536777,0.07614757045034586,0.20518120525293096
83,동대문구,청량리동,17460.901289461985,128.235314460748,9535,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1679,1134.0,646.0,284.0,11743.0,115.0,7.0,4974,22527,1.2,18773,1106080.0,0.06182994911318611,0.062173158931156346,715.4961711377897,0.0750389272299727,0.18651947679346903
