,자치구,동,면적_동,store_총_개소,백화점_개소,백화점_건물연면적,복합쇼핑몰_개소,복합쇼핑몰_건물연면적,전문점_개소,전문점_건물연면적,합계_사업체수,총_수급자_가구,㎡당 매매평균가,㎡당 전세평균가,수입차합계,수입화물차,수입특수차,주택건설현황,남자수,여자수,인구,면적,인구밀도,사용년수,세대수
115,종로구,숭인2동,0.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1812,340.0,697.0,467.0,9497.0,59.0,38.0,548,4430,4293,10088,0.35,28823,15-20,2088
116,종로구,숭인2동,0.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1812,340.0,697.0,467.0,9497.0,59.0,38.0,548,4430,4293,10088,0.35,28823,20-30,3357
117,종로구,숭인2동,0.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1812,340.0,697.0,467.0,9497.0,59.0,38.0,548,4430,4293,10088,0.35,28823,30-40,720
118,종로구,숭인2동,0.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1812,340.0,697.0,467.0,9497.0,59.0,38.0,548,4430,4293,10088,0.35,28823,40-50,421
119,종로구,숭인2동,0.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1812,340.0,697.0,467.0,9497.0,59.0,38.0,548,4430,4293,10088,0.35,28823,50-,221
120,종로구,청운효자동,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016,130.0,716.0,442.0,9497.0,59.0,38.0,548,5977,6877,13293,2.57,5172,0-5,2238
121,종로구,청운효자동,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016,130.0,716.0,442.0,9497.0,59.0,38.0,548,5977,6877,13293,2.57,5172,5-10,1626
122,종로구,청운효자동,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016,130.0,716.0,442.0,9497.0,59.0,38.0,548,5977,6877,13293,2.57,5172,10-15,1950
123,종로구,청운효자동,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016,130.0,716.0,442.0,9497.0,59.0,38.0,548,5977,6877,13293,2.57,5172,15-20,2088
124,종로구,청운효자동,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016,130.0,716.0,442.0,9497.0,59.0,38.0,548,5977,6877,13293,2.57,5172,20-30,3357
125,종로구,청운효자동,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016,130.0,716.0,442.0,9497.0,59.0,38.0,548,5977,6877,13293,2.57,5172,30-40,720
126,종로구,청운효자동,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016,130.0,716.0,442.0,9497.0,59.0,38.0,548,5977,6877,13293,2.57,5172,40-50,421
127,종로구,청운효자동,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016,130.0,716.0,442.0,9497.0,59.0,38.0,548,5977,6877,13293,2.57,5172,50-,221
